Parameter Code;Parameter;Date;Site Name;Sample Duration;Pollutant Standard;Method;Event Type;Observation Count;Observation Percent;Measurement Unit;Average;Daily Maximum;Hour of Maximum;AQI
81102;PM10 Total 0-10um STP;31/03/1991;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);16;16;0;15
81102;PM10 Total 0-10um STP;25/03/1991;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);23;23;0;21
81102;PM10 Total 0-10um STP;19/03/1991;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);19;19;0;18
81102;PM10 Total 0-10um STP;13/03/1991;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);26;26;0;24
81102;PM10 Total 0-10um STP;07/03/1991;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);21;21;0;19
81102;PM10 Total 0-10um STP;01/03/1991;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);44;44;0;41
81102;PM10 Total 0-10um STP;23/02/1991;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);19;19;0;18
81102;PM10 Total 0-10um STP;17/02/1991;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);28;28;0;26
81102;PM10 Total 0-10um STP;11/02/1991;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);27;27;0;25
81102;PM10 Total 0-10um STP;05/02/1991;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);47;47;0;44
81102;PM10 Total 0-10um STP;30/01/1991;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);37;37;0;34
81102;PM10 Total 0-10um STP;24/01/1991;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);36;36;0;33
81102;PM10 Total 0-10um STP;18/01/1991;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);38;38;0;35
81102;PM10 Total 0-10um STP;12/01/1991;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);14;14;0;13
81102;PM10 Total 0-10um STP;06/01/1991;BOSTON KENMORE SQ;24 HOUR;PM10 24-hour 2006;HI-VOL SA/GMW-1200 - GRAVIMETRIC;None;1;100;Micrograms/cubic meter (25 C);28;28;0;26
